label,auc,auprc
Atelectasis,0.8182327560531544,0.40623694889919204
Cardiomegaly,0.9208224889145942,0.31349549428987933
Consolidation,0.8075455911684584,0.1758436355679761
Edema,0.9216083027561065,0.22907007841635862
Effusion,0.8753869174643822,0.49765561214787063
Emphysema,0.9057616312518273,0.35054827391992327
Fibrosis,0.7995396116327833,0.08570330868791907
Hernia,0.9791482347808171,0.4948661762559195
Infiltration,0.7147715857320497,0.31354995012516396
Mass,0.8300563099434092,0.2731641038767891
No Finding,0.7829597171063498,0.808606877829675
Nodule,0.773298467767194,0.24766133440714383
Pleural_Thickening,0.8116737690407869,0.14652269057218464
Pneumonia,0.7569569777084045,0.04942974398554907
Pneumothorax,0.8728609904212951,0.2919229873415527
